Name,Python (out of 3),Machine Learning (out of 3),Natural Language Processing (NLP) (out of 3),Deep Learning (out of 3),Other skills, Available,Degree,Stream,Current Year Of Graduation,Performance_PG,Performance_UG,Performance_12,Performance_10
,0,2,0,2,"Data Analytics, Deep Learning, Machine Learning, Statistics",Yes,Bachelor of Engineering (B.E),,2022,NA,NA,NA,NA
,2,1,1,1,"HTML, CSS, JavaScript, Node.js, Python, Adobe Photoshop, Deep Learning, Figma, Git Bash, Java, Machine Learning, MongoDB, MySQL, Natural Language Processing (NLP), Neural Networks",Yes,Integrated B.Tech,Computer Science & Engineering,2024,NA,0.875,NA,NA
,0,0,0,0,,Yes,B.Tech,AIDS,2026,NA,NA,NA,NA
,2,0,0,0,"Algorithms, C++ Programming, Data Structures, CSS, Express.js, HTML, JavaScript, MySQL, Node.js, Python, ReactJS, SQL, MongoDB",Yes,B.Tech,Computer Science,2023,NA,NA,NA,NA
,2,1,0,1,"English Proficiency (Written), MS-Word, C Programming, CSS, Data Analytics, Data Science, HTML, MS-Excel, MS-Office, MySQL, Python, Deep Learning, JavaScript, Machine Learning",Yes,B.Tech,Computer Science And Engineering(data Science),2024,NA,NA,1,1
,3,2,2,2,"Python, Deep Learning, Machine Learning, Mathematics, Natural Language Processing (NLP), Computer Vision, Data Analytics, Data Science, Tableau",Yes,Master of Computer Applications (MCA),Data Science,2023,NA,NA,NA,NA
,2,2,1,1,"Data Science, Machine Learning, Mathematics, Python, SQL, Computer Vision, Data Analytics, Deep Learning, FastAPI, Git, GitHub, Java, MS-Excel, MS-Office, Natural Language Processing (NLP), Power BI, R Programming, Statistics, Tableau",Yes,Bachelor of Science (B.Sc),Computer Science,2023,NA,NA,1,NA
,2,0,0,0,"Android, C Programming, Computer Vision, Data Structures, Image Processing, Java, MS-Excel, MS-Office, MS-PowerPoint, Python",Yes,B.Tech (Hons.),Computer  Science And Engineering,2025,NA,NA,1,1
,3,2,0,2,"C Programming, English Proficiency (Spoken), MS-Excel, MySQL, Python, Deep Learning, Machine Learning, Power BI, Tableau",Yes,B.Tech,Computer Science & Engineering,2025,NA,0.898,1,1
,2,0,0,0,"Python, SQL, Data Science",Yes,Integrated M.Sc.,Statistics,2022,NA,NA,NA,NA
,0,0,0,0,,Yes,Bachelor of Engineering (B.E),,2026,NA,NA,NA,NA
,3,2,2,0,"Python, Artificial Intelligence, Computer Vision, Data Science, Machine Learning, Natural Language Processing (NLP)",Yes,Master of Science (M.Sc),computer science,2024,NA,NA,NA,NA
,2,2,0,1,"Amazon Web Services (AWS), Data Analytics, Hadoop, MS-Excel, Machine Learning, MySQL, Python, Tableau, Deep Learning",Yes,Master of Computer Applications (MCA),,2021,0.75,0.62,NA,NA
,3,2,0,3,"Deep Learning, Python, Algorithms, CSS, Computer Vision, Data Analytics, Data Science, Data Structures, Django, GitHub, HTML, Machine Learning, MongoDB, MySQL, OpenCV, PostgreSQL, SQL, JavaScript",Yes,B.Tech,Computer Science,2024,NA,0.7,1,NA
,0,0,0,0,,Yes,Certified Data Scientist,Data Science,2023,0.74,NA,NA,NA
,2,1,2,2,"C++ Programming, Ethical Hacking, C Programming, Data Structures, Deep Learning, DevOps, Linux, Natural Language Processing (NLP), Python, SQL, Machine Learning",Yes,B.Tech,Computer Science & Engineering,2024,NA,0.802,NA,NA
,3,2,0,2,"Java, MS-Excel, Python, CSS, Computer Vision, Data Analytics, Database Management System (DBMS), Deep Learning, HTML, Machine Learning, MySQL, SQL, Software Testing, Statistics, Tableau",Yes,Bachelor of Engineering (B.E) (Hons.),Computer Science & Engineering,2024,NA,0.852,1,1
,2,1,0,0,"C Programming, HTML, Hindi Proficiency (Spoken), Hindi Proficiency (Written), C++ Programming, CSS, Creative Writing, English Proficiency (Written), Figma, Java, JavaScript, Python, English Proficiency (Spoken), Machine Learning",Yes,Bachelor of Technology (B.Tech),computer science,2024,NA,NA,NA,NA
,3,0,0,2,"MATLAB, Python, Deep Learning, Image Processing, Neural Networks",Yes,Master of Technology (M.Tech),communication engineering,2020,NA,0.854,1,1
,1,1,0,0,"HTML, MS-Office, CSS, English Proficiency (Spoken), GitHub, Java, LaTeX, MS-Excel, MS-PowerPoint, MS-Word, Photography, SQL, Adobe Illustrator, Adobe Photoshop, Bootstrap, C Programming, Content Writing, Git, JavaScript, MATLAB, Machine Learning, Music, Python, VS Code",Yes,B.Tech,Civil Engineering,2024,NA,0.66,NA,NA
,2,2,0,2,"Algorithms, C++ Programming, Data Structures, Deep Learning, Machine Learning, Python, CSS, HTML",Yes,Bachelor of Technology (B.Tech),,2025,0.74,NA,1,1
,2,2,1,0,"Java, Machine Learning, Power BI, Python, Data Science, Flask, Natural Language Processing (NLP), SQL",Yes,B.Tech,Computer Science & Engineering,2024,NA,NA,NA,NA
,2,2,0,0,"MS-Word, Marathi Proficiency(Spoken), Music, C Programming, C++ Programming, English Proficiency (Spoken), English Proficiency (Written), Guitar, HTML, MS-Excel, MS-PowerPoint, Machine Learning, Python, CSS, JavaScript, PHP, R Programming, Visual Basic (VB)",Yes,B.Tech,Artificial Intelligence,2025,NA,NA,NA,NA
,1,1,0,0,"Hindi Proficiency (Spoken), English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Written), MS-Excel, MS-Office, MS-PowerPoint, MS-Word, C Programming, C++ Programming, Data Analytics, Data Science, Data Structures, Machine Learning, Python",Yes,Bachelor of Computer Applications (BCA) (Hons.),AI/DA,2025,0.87,NA,1,1
,2,2,2,0,"Amazon Web Services (AWS), Data Analytics, Data Science, Hadoop, MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, SQL, Statistical Modeling, Tableau",Yes,Post Graduate Diploma,,2022,NA,NA,NA,NA
,0,0,0,0,,No,Bachelor of Computer Applications (BCA),,2024,NA,NA,NA,NA
,0,0,0,0,,Yes,Automobile Engineering,,2020,NA,0.703,NA,NA
,2,0,0,0,"C Programming, CSS, Database Management System (DBMS), Flask, HTML, JavaScript, MySQL, Python, ReactJS, SQL, GitHub",Yes,Bachelor of Science (B.Sc),Computer Science,2022,NA,NA,NA,NA
,2,1,0,0,"Artificial Intelligence, Python, C++ Programming, Data Structures, Machine Learning",Yes,B.Tech,Artificial Intelligence And Data Science,2025,NA,NA,NA,1
,2,2,0,2,"Content Writing, Data Structures, Internet of Things (IoT), Interpersonal Skills, MS-Excel, MS-PowerPoint, Project Management, Software Testing, Time Management, Video Editing, Arduino, CSS, Cloud Computing, Computer Networks, Database Management System (DBMS), Deep Learning, Embedded Systems, HTML, JavaScript, MS-Office, Machine Learning, Node.js, Python, Raspberry Pi, React Native, SQL, BIG DATA ANALYTICS, Computer Vision, Neural Networks, Search Engine Optimization (SEO)",Yes,MBA,Agriculture Management,2024,NA,NA,NA,NA
,2,0,0,0,"Algorithms, C++ Programming, Data Structures, Figma, Firebase, Flutter, Linux, Node.js, Project Management, Python, Software Testing",Yes,B.Tech,Computer Science & Engineering,2024,0.80,NA,1,1
,2,0,0,0,"C++ Programming, Java, CSS, Data Structures, Database Management System (DBMS), HTML, JavaScript, Linux, MySQL, Python, SQL",Yes,B.E Computer Science and Engineering (Artificial Intelligence and machine Learning),,2024,NA,NA,NA,1
,2,2,0,0,"Java, Machine Learning, Python, SQL, HTML",Yes,B.Tech,Computer Science & Engineering,2023,NA,NA,NA,NA
,2,2,0,0,"MS-Excel, SQL, Data Analytics, Machine Learning, MySQL, Python, Statistics, Tableau",Yes,B.Tech,Electronics and Communication,2018,NA,NA,1,1
,2,0,0,0,"English Proficiency (Spoken), English Proficiency (Written), CSS, HTML, Python",Yes,B.Tech,Computer Science & Engineering,2025,NA,NA,NA,NA
,0,1,2,0,"Artificial Intelligence, Bootstrap, C++ Programming, CSS, Cloud Computing, Data Structures, Django, English Proficiency (Spoken), English Proficiency (Written), Flask, Git, Git Bash, GitHub, HTML, Heroku, Java, JavaScript, MS-Office, MongoDB, MySQL, Natural Language Processing (NLP), Neural Networks, NoSQL, OpenCV, PHP, REST API, XML, jQuery, Machine Learning",Yes,B.Tech,Computer Science & Engineering,2024,NA,0.86,NA,NA
,3,2,0,2,"C++ Programming, Data Structures, Java, MS-Excel, MySQL, Python, Android, Artificial Intelligence, Data Analytics, Data Science, Deep Learning, Embedded Systems, Kotlin, Machine Learning",Yes,Integrated B.E & M.Tech,Ai&Ml,2024,NA,0.9375,NA,NA
,0,0,0,0,"SQL, Java",Yes,Bachelor of Science (B.Sc),Computer Science,2019,NA,NA,NA,NA
,2,1,0,0,"Python, Artificial intelligence, CSS, HTML, Java, JavaScript, Machine Learning, SQL",No,B.Tech,Computer Science & Engineering,2024,NA,0.895,1,1
,2,1,0,0,"Python, Angular 7.0, Data Science, Machine Learning",Yes,Bachelor of Computer Science (B.C.S.),computer science,2016,NA,0.7363,1,1
,3,3,0,3,"Artificial Intelligence, BIG DATA ANALYTICS, C Programming, C++ Programming, Computer Vision, Data Analytics, Data Science, Database Management System (DBMS), Deep Learning, Machine Learning, Mathematics, Python, Statistical Modeling, Google Cloud Computing",Yes,B.Tech,Mechanical Engineering,2024,NA,0.82,1,1
,2,0,0,0,"Bootstrap, C Programming, C++ Programming, CSS, FL Studio (formerly known as FruityLoops), HTML, Photography, Video Editing, Android, Java, JavaScript, Python",Yes,Integrated M.Tech,Information Technology,2023,NA,NA,1,1
,3,3,2,2,"Business Analysis, Data Analytics, Data Science, MS-Excel, MS-Office, Machine Learning, Power BI, Python, SQL, Artificial Intelligence, Computer Vision, Deep Learning, Natural Language Processing (NLP), Neural Networks",Yes,MBA,Data Science,2024,NA,NA,NA,NA
,0,1,0,0,"Time Management, Business Research, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-PowerPoint, Manual Testing, CAD, Computer Networking, Machine Learning",Yes,B.Ed Special Education,Mechanical,2022,NA,0.863,NA,NA
,1,1,0,0,"CSS, Data Analytics, Data Science, HTML, MS-Office, Artificial Intelligence, Machine Learning, Python",Yes,Bachelor of Engineering (B.E),Artificial Intelligence And Data Science,2025,NA,0.94,1,1
,2,2,0,0,"C Programming, C++ Programming, Data Science, English Proficiency (Spoken), English Proficiency (Written), MATLAB, Machine Learning, PostgreSQL, Python, SQL, CSS, HTML, WordPress",Yes,B.Tech,Computer Science,2025,NA,0.953,1,1
,2,2,0,0,"Computer Vision, Machine Learning, Python, Data Science, Video Editing",Yes,Bachelor of Technology (B.Tech),Electronics and Communication,2020,NA,0.6,NA,NA
,3,3,2,0,"Data Science, English Proficiency (Spoken), Hindi Proficiency (Spoken), Machine Learning, Python, Statistical Modeling, Data Analytics, Data Structures, Image Processing, Natural Language Processing (NLP), R Programming",Yes,Master of Science (M.Sc),Information Technology (Data Science),2023,0.95,0.801,1,1
,2,1,1,0,"MS-Excel, Python, Data Analytics, Data Structures, Machine Learning, MySQL, Natural Language Processing (NLP), Oracle, Tableau",Yes,Bachelor of Science (B.Sc),computer science,2019,NA,NA,1,1
,2,0,0,0,"Artificial Intelligence, C Programming, C++ Programming, Data Science, HTML, Java, Linux, Python",Yes,B.Tech,Computer Science & Engineering,2025,NA,NA,NA,NA
,2,0,0,0,"CSS, HTML, Data Structures, Database Management System (DBMS), Java, Python",Yes,B.Tech,Information Technology,2024,1.00,0.92,NA,NA
,1,0,0,0,"C Programming, CSS, Data Structures, HTML, Java, JavaScript, Data Science, Python",Yes,B.Tech,Information science and engineering,2024,NA,0.782,1,NA
,3,3,0,0,"Data Analytics, Data Science, MS-Excel, MS-PowerPoint, MS-Word, Machine Learning, Python, C++ Programming, CSS, HTML, Power BI, SQL",Yes,B.Tech,Metallurgical And Materials Science,2023,NA,NA,1,1
,2,2,2,0,"MS-Excel, Machine Learning, Natural Language Processing (NLP), Power BI, Python, SQL",Yes,Bachelor of Engineering (B.E),Civil Engineering,2018,NA,NA,NA,NA
,1,1,0,0,"MS-Excel, MySQL, Machine Learning, Power BI, Python",Yes,Master of Computer Applications (MCA),,2015,NA,NA,NA,NA
,2,0,0,0,"Data Structures, Python, Data Science, SQL",Yes,B.Tech,Computer Science & Engineering,2025,NA,NA,1,NA
,2,2,1,2,"Artificial intelligence, Computer Vision, Data Analytics, Data Science, Deep Learning, MS-Excel, Machine Learning, Python, SQL, Tableau, Natural Language Processing (NLP), Statistics",Yes,Bachelor of Science (B.Sc),Computer Science,2023,NA,0.9,1,1
,2,0,0,0,"ASP.NET, C#, CSS, HTML, MySQL, C Programming, C++ Programming, Java, Python, SQLite, Hadoop, JavaScript",Yes,Bachelor of Computer Applications (BCA),Artificial Intelligence,2023,NA,NA,1,NA
,3,2,2,2,"Image Processing, MS-Excel, Python, C Programming, C++ Programming, Data Analytics, Deep Learning, Machine Learning, Natural Language Processing (NLP), Neural Networks, OpenCV",Yes,B.Tech,Engineering Physics,2024,NA,NA,1,1
,0,0,0,0,,Yes,MCA,Computer Science & Engineering,2024,NA,NA,NA,NA
,2,1,0,0,"C Programming, C++ Programming, Java, Python, Machine Learning, SQL",Yes,B.Tech,computer science,2023,NA,0.861,1,1
,1,0,0,0,"MS-Excel, MS-PowerPoint, MS-Word, R Programming, Python, SQL",Yes,Bachelor of Science (B.Sc),Statistics And Analytics,2023,NA,NA,NA,NA
,2,1,0,0,"HTML, Java, MS-Excel, Python, Data Analytics, Django, Machine Learning, SQL",Yes,B.Tech,Computer Science,2024,NA,NA,NA,NA
,2,2,2,0,"MS-Excel, SQL, Business Analysis, Data Analytics, Data Science, Machine Learning, Natural Language Processing (NLP), Power BI, Python, Neural Networks, Tableau",Yes,B.Tech,,2015,NA,NA,NA,NA
,3,2,3,2,"Natural Language Processing (NLP), Python, SQL, C++ Programming, Data Science, Deep Learning, Django, Machine Learning, Neural Networks",Yes,Bachelor of Engineering (B.E),Computer Science & Engineering,2020,NA,0.75,NA,NA
,0,0,0,0,"Content Marketing, Content Writing, Creative Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Ads, Facebook Marketing, MS-Excel, MS-Office, Marketing Strategies , Search Engine Optimization (SEO), Social Media Marketing, Email Marketing, Google AdWords, Google Analytics, Search Engine Marketing (SEM)",Yes,B.Tech,Electrical,2014,NA,NA,NA,NA
,1,0,0,0,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Tableau, Python, R Programming, Tally",Yes,MBA,BUSINESS ANALYST,2023,NA,NA,NA,NA
,3,2,0,2,"CSS, Data Analytics, Data Science, Data Structures, HTML, MS-Excel, Python, Deep Learning, Django, Machine Learning, Power BI, SQL",Yes,B.Tech,Electronics and Telecommunication Engineering (ETE),2022,NA,0.808,NA,1
,3,2,1,0,"Data Structures, Database Management System (DBMS), Python, SQL, Data Analytics, Data Science, MS-Excel, MS-Office, MS-PowerPoint, Machine Learning, Tableau, Natural Language Processing (NLP)",Yes,B.Tech,Computer Science & Engineering,2024,NA,0.821,1,NA
,3,2,0,0,"Python, Machine Learning",Yes,B.Tech,Computer Science,2025,NA,NA,NA,NA
,1,0,0,0,"C Programming, Computer Vision, Python",Yes,Master of Data Science,Mathematics,2024,NA,1,NA,NA
,0,2,1,0,"Data Structures, Java, MS-Excel, MS-Word, Machine Learning, C Programming, Data Analytics, Data Science, MS-Office, Natural Language Processing (NLP), Software Testing",Yes,B.Tech,Computer Science & Engineering,2024,NA,NA,1,1
,2,2,2,0,"Algorithms, C++ Programming, Data Analytics, Data Science, Data Structures, MS-Excel, Machine Learning, Natural Language Processing (NLP), Product Management, Python, SQL",Yes,B.Tech,Mining Engineering,2024,NA,0.854,1,1
,3,0,0,0,"Python, C Programming, C++ Programming, HTML, JavaScript, Java",Yes,Bachelor of Computer Engineering,,2024,NA,NA,NA,NA
,2,2,0,2,"Data Science, Deep Learning, Machine Learning, Python, Java, ReactJS",No,B.Tech,Computer Science,2024,NA,NA,NA,NA
,2,2,1,1,"MS-Excel, MS-Office, MySQL, Data Analytics, Data Science, Machine Learning, Neural Networks, Power BI, Python, SQL, Deep Learning, Natural Language Processing (NLP)",Yes,M.Sc (Information Technology),Data Science,2023,NA,NA,NA,NA
,1,0,0,0,"English Proficiency (Spoken), English Proficiency (Written), Marathi Proficiency(Spoken), Adobe Premiere Pro, HTML, MS-Excel, MS-PowerPoint, MS-Word, Report Writing, Statistical Modeling, Video Editing, CSS, MS-Office, MySQL, PHP, Python",Yes,Bachelor of Engineering (B.E) (Hons.),Information Technology,2024,NA,1,1,1
,3,2,1,2,"Python, Algorithms, Artificial Intelligence, C++ Programming, Deep Learning, Machine Learning, Marketing Campaigns , Operations, SQL, Image Processing, Natural Language Processing (NLP)",Yes,B.Tech,Computer Science With Specialization In AI And ML,2025,NA,NA,NA,NA
,3,2,0,0,"C Programming, C++ Programming, Java, Python, Artificial Intelligence, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), Machine Learning, SQL, JavaScript, Node.js, ReactJS, UI & UX Design",Yes,B.Tech,Computer Science & Engineering,2025,0.83,NA,NA,NA
,3,3,0,0,"Data Science, MS-Excel, MS-Office, MS-PowerPoint, Machine Learning, Python, SQL, Tableau",Yes,Bachelor of Technology (B.Tech),Electronics and Telecommunication Engineering (ETE),2019,NA,0.6,1,1
,3,2,0,2,"Python, Computer Vision, Deep Learning, Machine Learning",No,B.Tech,Computer Science & Engineering,2024,NA,NA,NA,NA
,1,1,1,1,"Data Science, Photography, Data Structures, Database Management System (DBMS), Deep Learning, Machine Learning, Natural Language Processing (NLP), Python",Yes,Master of Computer Applications (MCA),Data Science,2024,NA,NA,1,NA
,3,0,0,0,"C++ Programming, HTML, Python, Bootstrap, CSS, English Proficiency (Spoken), English Proficiency (Written), Java, JavaScript, Project Management, ReactJS, Data Science, UI & UX Design",Yes,B.Tech,,2024,NA,NA,NA,NA
,2,1,0,0,"Data Structures, HTML, C Programming, CSS, Copywriting, Data Science, Database Management System (DBMS), PHP, Python, SQL, WordPress, Adobe Photoshop, Artificial Intelligence, Machine Learning",Yes,B.Tech,computer science,2025,NA,NA,1,1
,0,0,0,0,,Yes,B.Tech,Computer Science & Engineering,2024,NA,0.781,1,1
,0,0,0,0,,Yes,Bachelor of Engineering (B.E),,2024,NA,NA,NA,NA
,2,2,2,2,"Data Analytics, Data Science, Data Structures, Deep Learning, Machine Learning, Natural Language Processing (NLP), OpenCV, Python, SQL, Linux",Yes,Master of Technology (M.Tech),Signal Processing Machine Learning,2023,NA,0.801,NA,NA
,0,0,0,0,,Yes,B.Tech,Computer Science & Engineering,2024,NA,0.8,1,1
,2,2,0,2,"MS-Excel, Mathematics, Adobe Photoshop, Algorithms, Angular 2.0, Angular 7.0, AngularJS, Artificial Intelligence, Blogging, Bootstrap, C Programming, CSS, Computer Vision, Content Writing, Creative Writing, Data Science, Data Structures, Deep Learning, Django, English Proficiency (Spoken), English Proficiency (Written), Figma, GitHub, HTML, Internet of Things (IoT), Java, JavaScript, LaTeX, MS SQL Server, MS-PowerPoint, MS-Word, Machine Learning, MySQL, Neural Networks, Node.js, PHP, PostgreSQL, Python, ReactJS, Research and Analytics, SQL, Search Engine Optimization (SEO), Social Media Marketing, Software Testing, Tableau, Video Making, WordPress, C++ Programming, Data Analytics, MATLAB",Yes,B.Tech,,2024,NA,0.9,NA,NA
,2,2,0,2,"Artificial Intelligence, C++ Programming, Deep Learning, Machine Learning, Python",Yes,Master of Technology (M.Tech),Artificial Intelligence,2023,NA,NA,NA,NA
,2,1,0,0,"C Programming, HTML, Java, MySQL, Python, Android, C++ Programming, CAD, CSS, Creative Writing, English Proficiency (Spoken), JavaScript, Kotlin, Machine Learning, Photography",Yes,Bachelor of Engineering (B.E),Computer Science & Engineering,2024,0.88,NA,1,1
,2,2,0,0,"Data Analytics, Machine Learning, Python, MS-Excel",Yes,B.E Computer Science and Engineering (Artificial Intelligence and machine Learning),Mechanical,2019,NA,0.671,NA,NA
,3,3,2,2,"Data Analytics, English Proficiency (Spoken), Machine Learning, Python, Tableau, Computer Vision, Deep Learning, MS-Excel, Natural Language Processing (NLP), Power BI, SQL",Yes,B.Tech,Artificial Intelligence And Data Science,2024,NA,0.911,1,1
,3,2,2,2,"ArcGIS, MS-Excel, Map Study, Power BI, Python, SQL, Tableau, Deep Learning, Machine Learning, Natural Language Processing (NLP), Git, HTML",Yes,B.Tech,Civil Engineering,2020,0.76,0.77,NA,NA
,3,3,2,0,"Machine Learning, Python, Tableau, MS-Excel, Natural Language Processing (NLP), SQL",Yes,Master of Science (M.Sc),Data Science,2022,0.88,0.694,1,1
,2,0,0,0,"HTML, C Programming, C++ Programming, CSS, JavaScript, LabVIEW, MS-Office, PLC SCADA, Python, SQL, Bootstrap, Data Structures, Internet of Things (IoT), Node.js, jQuery",Yes,Bachelor of Engineering (B.E),Electronics and Instrumentation ,2022,NA,0.909,1,NA
,2,3,0,0,"Embedded Systems, Internet of Things (IoT), MS-Word, Machine Learning, Neural Networks, C Programming, HTML, Python",Yes,B.Tech,Electronics Engineering,2022,NA,0.991111111,NA,NA
,0,0,0,0,"HTML, C Programming, CSS, Java, Web Application Security, PHP, WordPress",Yes,Bachelor of Engineering (B.E),,2024,NA,NA,NA,NA
,0,0,0,0,"C Programming, CSS, HTML, Java, JavaScript",Yes,Bachelor of Computer Engineering,,2023,NA,NA,NA,NA
,0,0,0,0,,Yes,M.Sc. in Data Science,Data Analytics,2024,NA,NA,NA,NA
,3,1,0,0,"HTML, Python, Algorithms, Android, C Programming, C++ Programming, CSS, Data Structures, Figma, Google Cloud Computing, Java, JavaScript, Kotlin, MS-Office, MySQL, ReactJS, UI & UX Design, WordPress, Machine Learning",Yes,B.Tech,,2025,NA,NA,NA,NA
,2,2,0,2,"SQL, CSS, Deep Learning, HTML, JavaScript, Machine Learning, PHP, PostgreSQL, Python",Yes,B.Tech,computer science,2025,NA,NA,NA,NA
,2,2,0,0,"CSS, HTML, Java, Machine Learning, Python",Yes,Bachelor of Engineering (B.E),computer science,2023,0.93,NA,NA,NA
,2,1,0,0,"Python, Machine Learning",Yes,B.Tech,Computer Science & Engineering,2023,NA,1,NA,NA
,2,0,0,0,"MS-Excel, MySQL, Power BI, Python",Yes,,Data Analytics,2023,NA,0.9375,NA,NA
,2,3,0,2,"Data Analytics, Machine Learning, Data Science, Deep Learning, Python, R Programming, Tableau",Yes,B.Tech,Artificial Intelligence And Data Science Engineering,2024,0.99,NA,1,1
,0,0,0,0,"MS-Word, CSS, Data Analytics, Data Science, English Proficiency (Spoken), English Proficiency (Written), Java, JavaScript, MS-Office, MS-PowerPoint, Power BI, Statistical Modeling, Tableau, C++ Programming, MS-Excel, Research and Analytics",Yes,MBA,Business Analytics,2023,NA,0.74,1,1
,2,2,0,2,"Computer Vision, Deep Learning, Machine Learning, OpenCV, Python, Django, REST API, ReactJS",Yes,Master of Technology (M.Tech),Electronics Engineering,2022,0.85,NA,NA,NA
,2,2,2,2,"Artificial Intelligence, AutoCAD, C Programming, CSS, Deep Learning, HTML, Java, JavaScript, Machine Learning, MySQL, Natural Language Processing (NLP), Python, R Programming, ReactJS",Yes,Bachelor of Engineering (B.E),Artificial Intelligence And Data Science,2024,NA,0.875,1,1
,3,3,2,1,"Data Analytics, Data Science, MS-Excel, Machine Learning, Python, SQL, Statistics, Tableau, Amazon Web Services (AWS), CSS, Database Management System (DBMS), HTML, Heroku, Microsoft Azure, Natural Language Processing (NLP), Deep Learning",Yes,Master of Engineering (M.E),Electrical and Electronics Engineering,2019,0.66,0.7018,1,1
,3,3,3,3,"Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, MS-Excel, MS-Office, Mathematics, OpenCV, Power BI, R Programming, SQL, Statistical Modeling, BIG DATA ANALYTICS, Tableau",Yes,Master of Technology (M.Tech),Artificial Intelligence,2023,0.87,0.714,NA,NA
,2,1,1,0,"MS-Office, Python, SQL, Machine Learning, Natural Language Processing (NLP), R Programming",Yes,Bachelors of Data Science,,2023,NA,NA,NA,NA
,2,2,0,0,"Machine Learning, Python",Yes,Bachelor of Computer Applications (BCA),computer science,2022,NA,NA,NA,NA
,3,2,0,0,"Data Structures, Java, Python, HTML, Machine Learning, SQL",Yes,B.Tech,Computer Science & Engineering,2023,NA,NA,NA,NA
,2,2,1,0,"MS-Excel, Machine Learning, MySQL, Python, Statistics, Tableau, Natural Language Processing (NLP)",Yes,B.Sc,Agricultural Science,2022,0.66,NA,1,1
,2,1,0,0,"MS-Excel, Power BI, Python, Machine Learning",Yes,Bachelor of Science (B.Sc),Mathematics,2020,NA,NA,NA,NA
,2,0,0,0,"C Programming, CSS, HTML, MySQL, Python, Java, MS-Office, Tableau, WordPress",Yes,Bachelor of Engineering (B.E),Information Science,2023,NA,NA,NA,1
,2,2,0,2,"Effective Communication, Data Science, Deep Learning, HTML, MS-Excel, Machine Learning, Power BI, Python, R Programming",Yes,Bachelor of Science (B.Sc),Information Technology,2022,NA,NA,1,1
,3,2,1,2,"CSS, HTML, JavaScript, Python, Computer Vision, Data Science, Deep Learning, Flask, Machine Learning, Natural Language Processing (NLP)",Yes,B.Tech,Artificial Intelligence And Machine Learning,2025,NA,NA,NA,NA
,2,2,2,1,"Data Structures, Django, HTML, Java, Machine Learning, Natural Language Processing (NLP), Neural Networks, PostgreSQL, Python, Tableau, Data Analytics, Data Science, Database Management System (DBMS), Deep Learning",Yes,B.tech Artificial Intelligence And Data Science,Data Science,2025,0.95,NA,1,NA
,3,3,2,1,"Machine Learning, Python, Data Science, Data Structures, Java, MySQL, Natural Language Processing (NLP), Tableau, Deep Learning",Yes,B.Tech,Computer Science & Engineering,2024,NA,NA,NA,NA
,1,1,1,0,"Machine Learning, Natural Language Processing (NLP), Power BI, Python, SQL",Yes,Bachelor of Science (B.Sc),Mathematics,2004,NA,NA,NA,NA
,2,0,0,0,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Mathematics, Python, R Programming",Yes,M.Sc (Information Technology),Data Science,2023,0.90,0.857,1,1
,3,0,0,0,"Autodesk Inventor, C Programming, Inkscape, LaTeX, MATLAB, Python, AutoCAD, SQL, SolidWorks, Power BI",Yes,Master of Technology (M.Tech),Industrial Management,2016,0.89,NA,NA,NA
,2,2,0,0,"CSS, Data Structures, Django, Flask, HTML, Machine Learning, Product Lifecycle Management(PLM), Project Management, Python, REST API, ReactJS, SQL, C++ Programming, JavaScript, MongoDB",Yes,Bachelor of Technology (B.Tech),Mechanical Engineering,2023,NA,0.633,NA,1
,0,0,0,0,,Yes,M.Sc (Information Technology),Machine Learning,2024,NA,NA,NA,NA
,2,2,0,0,"C Programming, CSS, HTML, ReactJS, Artificial Intelligence, Data Structures, Database Management System (DBMS), English Proficiency (Spoken), English Proficiency (Written), Java, JavaScript, Machine Learning, PHP, Python, AJAX, C++ Programming",Yes,Bachelor of Technology (B.Tech),Computer Science & Engineering,2023,NA,0.904,1,1
,0,0,0,0,,Yes,B.Tech,Engineering,2024,0.85,NA,1,1
,1,1,0,1,"MS-Office, Data Analytics, Data Science, Deep Learning, Machine Learning, Python, Tableau",Yes,B.Tech,Mechanical Engineering,2021,NA,NA,NA,NA
,1,2,0,1,"C++ Programming, Data Analytics, Data Science, Data Structures, English Proficiency (Spoken), MS-Excel, Machine Learning, MySQL, Power BI, SQL, Computer Vision, Deep Learning, Python, ReactJS, Tableau, web3.js",Yes,M.Sc. in Data Science,,2025,0.84,NA,1,1
,2,0,0,0,"MS-Excel, MySQL, Power BI, Python, Tableau",Yes,,Mechanical Engineering,2021,NA,NA,NA,NA
,2,0,0,0,"C Programming, Content Writing, Creative Writing, English Proficiency (Written), Python",Yes,B.Tech,Computer Science & Engineering,2025,NA,NA,NA,NA
,1,0,0,0,"Photography, C++ Programming, HTML, Java, Python, SQL",Yes,Master of Computer Applications (MCA),,2023,NA,NA,NA,NA
